Data Source,World Development Indicators,,,
,,,,
IBRD only,IBD,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,15.0391908
IDA & IBRD total,IBT,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,15.497373
IDA total,IDA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,29.75255468
IDA blend,IDB,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,25.03277339
Indonesia,IDN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,30.80658832
IDA only,IDX,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,35.61581579
Isle of Man,IMN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
India,IND,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,11.47860789
Not classified,INX,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Ireland,IRL,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,32.13230951
"Iran, Islamic Rep.",IRN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,24.9294179
Iraq,IRQ,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,20.58427285
Iceland,ISL,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,40.19607843
Israel,ISR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,26.09367754
Italy,ITA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,32.95486535
Jamaica,JAM,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,24.26778243
Jordan,JOR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,29.19950228
Japan,JPN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,17.53699637
Kazakhstan,KAZ,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,6.106665475
Kenya,KEN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,52.87449393
Kyrgyz Republic,KGZ,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,27.75119617
Cambodia,KHM,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,63.60655738
Kiribati,KIR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
St. Kitts and Nevis,KNA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
"Korea, Rep.",KOR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,16.27833254
Kuwait,KWT,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,15.26486989
Latin America & Caribbean (excluding high income),LAC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,37.38420327
Lao PDR,LAO,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Lebanon,LBN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,24.40768887
Liberia,LBR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Libya,LBY,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,39.31106472
St. Lucia,LCA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Latin America & Caribbean,LCN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,36.31600817
Least developed countries: UN classification,LDC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,37.82064128
Low income,LIC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,30.79109427
Liechtenstein,LIE,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Sri Lanka,LKA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,47.72998805
Lower middle income,LMC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,19.42916225
Low & middle income,LMY,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,15.18044609
Lesotho,LSO,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Late-demographic dividend,LTE,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,12.87931513
Lithuania,LTU,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,46.16876819
Luxembourg,LUX,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,66.81081081
Latvia,LVA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,42.85714286
"Macao SAR, China",MAC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
St. Martin (French part),MAF,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Morocco,MAR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,28.84579175
Monaco,MCO,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Moldova,MDA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,24.68965517
Madagascar,MDG,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Maldives,MDV,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Middle East & North Africa,MEA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,24.62089434
Mexico,MEX,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,35.09236053
Marshall Islands,MHL,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Middle income,MIC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,15.07251535
North Macedonia,MKD,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,21.53432032
Mali,MLI,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Malta,MLT,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,23.07692308
Myanmar,MMR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,36.60531697
Middle East & North Africa (excluding high income),MNA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,26.10291999
Montenegro,MNE,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,23.42342342
Mongolia,MNG,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,11.12334802
Northern Mariana Islands,MNP,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Mozambique,MOZ,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,56.84754522
Mauritania,MRT,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Mauritius,MUS,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,25.50505051
Malawi,MWI,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Malaysia,MYS,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,29.71159079
North America,NAC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,33.24265705
Namibia,NAM,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,55.43175487
New Caledonia,NCL,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Niger,NER,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,59.18367347
Nigeria,NGA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,35.38896277
Nicaragua,NIC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,41.62995595
Netherlands,NLD,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,19.85304031
Norway,NOR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,39.76210705
Nepal,NPL,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,44.01349073
Nauru,NRU,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
New Zealand,NZL,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,44.94238156
OECD members,OED,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,29.04021178
Oman,OMN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,20.78464107
Other small states,OSS,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,19.03584672
Pakistan,PAK,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,28.93109219
Panama,PAN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,36.44948064
Peru,PER,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,40.30131827
Philippines,PHL,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,27.83408212
Palau,PLW,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Papua New Guinea,PNG,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Poland,POL,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,15.66800459
Pre-demographic dividend,PRE,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,34.5928703
Puerto Rico,PRI,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
"Korea, Dem. People's Rep.",PRK,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,3.544973545
Portugal,PRT,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,36.6970334
Paraguay,PRY,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,93.06358382
West Bank and Gaza,PSE,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Pacific island small states,PSS,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Post-demographic dividend,PST,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,28.65809257
French Polynesia,PYF,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Qatar,QAT,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,18.24507151
Romania,ROU,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,22.4471831
Russian Federation,RUS,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,16.24476168
Rwanda,RWA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
South Asia,SAS,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,12.98058911
Saudi Arabia,SAU,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,25.91839555
Sudan,SDN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,59.22038981
Senegal,SEN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,38.85350318
Singapore,SGP,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,15.18093557
Solomon Islands,SLB,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Sierra Leone,SLE,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
El Salvador,SLV,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,48.1292517
San Marino,SMR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Somalia,SOM,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Serbia,SRB,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,15.48150092
Sub-Saharan Africa (excluding high income),SSA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,22.85030748
South Sudan,SSD,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,65.13157895
Sub-Saharan Africa,SSF,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,22.85030748
Small states,SST,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,18.75160941
Sao Tome and Principe,STP,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Suriname,SUR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,33.66834171
Slovak Republic,SVK,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,20.6614388
Slovenia,SVN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,41.53605016
Sweden,SWE,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,53.28701229
Eswatini,SWZ,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Sint Maarten (Dutch part),SXM,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Seychelles,SYC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Syrian Arab Republic,SYR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,23.97533551
Turks and Caicos Islands,TCA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Chad,TCD,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
East Asia & Pacific (IDA & IBRD countries),TEA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,10.83875264
Europe & Central Asia (IDA & IBRD countries),TEC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,15.81160052
Togo,TGO,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,77.3255814
Thailand,THA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,24.71665572
Tajikistan,TJK,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,33.47639485
Turkmenistan,TKM,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,17.55223881
Latin America & the Caribbean (IDA & IBRD countries),TLA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,36.93517545
Timor-Leste,TLS,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Middle East & North Africa (IDA & IBRD countries),TMN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,26.10291999
Tonga,TON,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
South Asia (IDA & IBRD),TSA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,12.98058911
Sub-Saharan Africa (IDA & IBRD countries),TSS,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,22.85030748
Trinidad and Tobago,TTO,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,13.78716071
Tunisia,TUN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,25.30987605
Turkiye,TUR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,19.83328449
Tuvalu,TUV,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Tanzania,TZA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,57.56991321
Uganda,UGA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
Ukraine,UKR,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,11.41033229
Upper middle income,UMC,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,13.67108534
Uruguay,URY,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,55.34290271
United States,USA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,33.3979881
Uzbekistan,UZB,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,6.84371808
St. Vincent and the Grenadines,VCT,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,
"Venezuela, RB",VEN,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,32.33757017
